temp,tmax,coef,se,star,group
2.5,（-∞，5],-0.256,0.346,,Male
7.5,（5，10],-0.644,0.293,**,Male
12.5,（10，15],-0.423,0.191,**,Male
17.5,（15，20],-0.0725,0.111,,Male
22.5,（20，25],0,0,-,Male
27.5,（25，30],0.0216,0.0714,,Male
32.5,（30，35],-0.704,0.0775,***,Male
37.5,（35，+∞),-2.051,0.18,***,Male
2.5,（-∞，5],-0.652,0.405,,Female
7.5,（5，10],-1.044,0.306,***,Female
12.5,（10，15],-0.752,0.18,***,Female
17.5,（15，20],-0.218,0.12,*,Female
22.5,（20，25],0,0,-,Female
27.5,（25，30],-0.101,0.0799,,Female
32.5,（30，35],-1.035,0.138,***,Female
37.5,（35，+∞),-2.976,0.288,***,Female
