temp,tmax,coef,se,star,group
2.5,（-∞，5],-0.145,0.476,,Rich city
7.5,（5，10],-0.491,0.379,,Rich city
12.5,（10，15],-0.305,0.218,,Rich city
17.5,（15，20],-0.152,0.146,,Rich city
22.5,（20，25],0,0,,Rich city
27.5,（25，30],-0.0155,0.121,,Rich city
32.5,（30，35],-0.942,0.222,***,Rich city
37.5,（35，+∞),-2.446,0.496,***,Rich city
2.5,（-∞，5],-0.747,0.408,*,Poor city
7.5,（5，10],-1.161,0.324,***,Poor city
12.5,（10，15],-0.856,0.219,***,Poor city
17.5,（15，20],-0.186,0.146,,Poor city
22.5,（20，25],0,0,,Poor city
27.5,（25，30],-0.0667,0.116,,Poor city
32.5,（30，35],-0.804,0.176,***,Poor city
37.5,（35，+∞),-2.462,0.245,***,Poor city
