temp,tmax,coef,se,star,group
2.5,（-∞，5],-1.018,0.544,*,Q1
7.5,（5，10],-1.13,0.507,*,Q1
12.5,（10，15],-0.627,0.347,,Q1
17.5,（15，20],-0.265,0.17,,Q1
22.5,（20，25],0,0,,Q1
27.5,（25，30],-0.182,0.229,,Q1
32.5,（30，35],-0.545,0.204,**,Q1
37.5,（35，+∞),-2.094,0.264,***,Q1
2.5,（-∞，5],0.105,0.722,,Q2
7.5,（5，10],-0.786,0.411,*,Q2
12.5,（10，15],-0.938,0.25,***,Q2
17.5,（15，20],-0.12,0.274,,Q2
22.5,（20，25],0,0,,Q2
27.5,（25，30],0.113,0.129,,Q2
32.5,（30，35],-1.071,0.273,***,Q2
37.5,（35，+∞),-3.053,0.414,***,Q2
2.5,（-∞，5],-0.609,0.533,,Q3
7.5,（5，10],-0.823,0.5,,Q3
12.5,（10，15],-0.413,0.373,,Q3
17.5,（15，20],-0.222,0.245,,Q3
22.5,（20，25],0,0,,Q3
27.5,（25，30],-0.132,0.174,,Q3
32.5,（30，35],-0.986,0.258,***,Q3
37.5,（35，+∞),-2.319,0.482,***,Q3
2.5,（-∞，5],-0.58,0.555,,Q4
7.5,（5，10],-0.746,0.456,,Q4
12.5,（10，15],-0.451,0.28,,Q4
17.5,（15，20],-0.0781,0.161,,Q4
22.5,（20，25],0,0,,Q4
27.5,（25，30],0.21,0.172,,Q4
32.5,（30，35],-0.59,0.297,*,Q4
37.5,（35，+∞),-2.163,0.664,***,Q4
