station_id,lat,lon
50136,52.580002,122.31
50246,52.209999,124.43
50247,52.02,123.34
50349,51.419998,124.2
50353,51.43,126.39
50425,50.150002,120.11
50434,50.290001,121.41
50442,50.240002,124.07
50468,50.150002,127.27
50514,49.349998,117.19
50527,49.130001,119.45
50548,49.119999,123.43
50557,49.099998,125.14
50564,49.259998,127.21
50603,48.400002,116.49
50618,48.130001,118.16
50632,48.459999,121.55
50639,48,122.44
50656,48.169998,126.31
50658,48.029999,125.53
50727,47.099998,119.56
50739,47.200001,123.11
50742,47.48,124.29
50745,47.23,123.55
50756,47.259998,126.58
50758,47.110001,125.54
50774,47.439999,128.55
50788,47.139999,131.59
50834,46.360001,121.13
50838,46.049999,122.03
50844,46.240002,123.27
50853,46.369999,126.58
50854,46.23,125.19
50862,46.59,128.00999
50873,46.470001,130.17999
50877,46.18,129.35001
50888,46.189999,132.11
50915,45.310001,116.58
50936,45.380001,122.5
50945,45.299999,124.16
50948,45,124.01
50949,45.049999,124.52
50950,45.419998,125.15
50953,45.450001,126.46
50955,45.23,126.18
50963,45.580002,128.44
50968,45.130001,127.58
50973,45.450001,130.36
50978,45.18,130.56
50983,45.459999,132.58
51053,48.029999,86.239998
51059,47.259998,85.519997
51060,47.419998,86.519997
51068,47.07,87.279999
51076,47.439999,88.050003
51087,46.59,89.309998
51133,46.439999,83
51156,46.470001,85.43
51186,46.400002,90.230003
51232,45.110001,82.339996
51238,44.540001,82.040001
51241,45.560001,83.360001
51243,45.369999,84.510002
51288,45.220001,90.32
51330,44.580002,81.010002
51334,44.360001,82.540001
51346,44.259998,84.400002
51358,44.169998,85.489998
51365,44.119999,87.32
51367,44.080002,86.489998
51379,44.009998,89.339996
51431,43.57,81.199997
51433,43.48,82.309998
51437,43.09,81.080002
51463,43.470001,87.389999
51467,42.439999,86.18
51469,43.27,87.110001
51470,43.529999,88.07
51477,43.209999,88.190002
51495,43.130001,91.440002
51526,42.139999,88.129997
51542,43.02,84.089996
51567,42.049999,86.339996
51573,42.560001,89.120003
51581,42.509998,90.139999
51628,41.099998,80.139999
51633,41.470001,81.540001
51639,41.139999,82.470001
51642,41.470001,84.150002
51644,41.43,82.580002
51655,41.209999,86.160004
51656,41.450001,86.080002
51701,40.310001,75.239998
51704,39.43,76.099998
51705,39.43,75.150002
51709,39.279999,75.589996
51711,40.560001,78.269997
51716,39.48,78.339996
51720,40.299999,79.029999
51730,40.330002,81.160004
51747,39,83.400002
51765,40.380001,87.419998
51777,39.02,88.099998
51804,37.459999,75.139999
51810,38.549999,77.379997
51811,38.259998,77.160004
51818,37.369999,78.169998
51828,37.080002,79.559998
51839,37.040001,82.43
51855,38.09,85.330002
51886,38.150002,90.510002
51931,36.509998,81.389999
52101,43.360001,93.029999
52112,43.459999,95.080002
52118,43.16,94.419998
52203,42.490002,93.309998
52267,41.57,101.04
52313,41.32,94.400002
52323,41.48,97.019997
52378,41.220001,102.22
52418,40.09,94.410004
52424,40.32,95.459999
52436,40.16,97.019997
52446,40.18,99.309998
52447,40,98.540001
52495,40.099998,104.48
52533,39.459999,98.290001
52546,39.220001,99.5
52576,39.130001,101.41
52602,38.450001,93.199997
52633,38.48,98.25
52645,38.25,99.349998
52652,38.560001,100.26
52657,38.110001,100.15
52661,38.48,101.05
52674,38.139999,101.58
52679,37.549999,102.4
52681,38.380001,103.05
52707,36.48,93.410004
52713,37.509998,95.220001
52737,37.220001,97.220001
52754,37.200001,100.08
52765,37.23,101.37
52787,37.119999,102.52
52797,37.110001,104.03
52818,36.25,94.540001
52825,36.259998,96.25
52833,36.549999,98.290001
52836,36.18,98.059998
52856,36.16,100.37
52866,36.43,101.45
52868,36.02,101.26
52876,36.189999,102.51
